DateTime,Total Return Bond Index
01.01.1945 00:00,58.3997486
01.02.1945 00:00,
01.03.1945 00:00,
01.04.1945 00:00,
01.05.1945 00:00,
01.06.1945 00:00,
01.07.1945 00:00,
01.08.1945 00:00,
01.09.1945 00:00,
01.10.1945 00:00,
01.11.1945 00:00,
01.12.1945 00:00,
01.01.1946 00:00,62.1316886
01.02.1946 00:00,
01.03.1946 00:00,
01.04.1946 00:00,
01.05.1946 00:00,
01.06.1946 00:00,
01.07.1946 00:00,
01.08.1946 00:00,
01.09.1946 00:00,
01.10.1946 00:00,
01.11.1946 00:00,
01.12.1946 00:00,
01.01.1947 00:00,61.8863162
01.02.1947 00:00,
01.03.1947 00:00,
01.04.1947 00:00,
01.05.1947 00:00,
01.06.1947 00:00,
01.07.1947 00:00,
01.08.1947 00:00,
01.09.1947 00:00,
01.10.1947 00:00,
01.11.1947 00:00,
01.12.1947 00:00,
01.01.1948 00:00,58.3425338
01.02.1948 00:00,
01.03.1948 00:00,
01.04.1948 00:00,
01.05.1948 00:00,
01.06.1948 00:00,
01.07.1948 00:00,
01.08.1948 00:00,
01.09.1948 00:00,
01.10.1948 00:00,
01.11.1948 00:00,
01.12.1948 00:00,
01.01.1949 00:00,61.8672647
01.02.1949 00:00,
01.03.1949 00:00,
01.04.1949 00:00,
01.05.1949 00:00,
01.06.1949 00:00,
01.07.1949 00:00,
01.08.1949 00:00,
01.09.1949 00:00,
01.10.1949 00:00,
01.11.1949 00:00,
01.12.1949 00:00,
01.01.1950 00:00,66.0062721
01.02.1950 00:00,
01.03.1950 00:00,
01.04.1950 00:00,
01.05.1950 00:00,
01.06.1950 00:00,
01.07.1950 00:00,
01.08.1950 00:00,
01.09.1950 00:00,
01.10.1950 00:00,
01.11.1950 00:00,
01.12.1950 00:00,
01.01.1951 00:00,68.2680162
01.02.1951 00:00,
01.03.1951 00:00,
01.04.1951 00:00,
01.05.1951 00:00,
01.06.1951 00:00,
01.07.1951 00:00,
01.08.1951 00:00,
01.09.1951 00:00,
01.10.1951 00:00,
01.11.1951 00:00,
01.12.1951 00:00,
01.01.1952 00:00,66.2240636
01.02.1952 00:00,
01.03.1952 00:00,
01.04.1952 00:00,
01.05.1952 00:00,
01.06.1952 00:00,
01.07.1952 00:00,
01.08.1952 00:00,
01.09.1952 00:00,
01.10.1952 00:00,
01.11.1952 00:00,
01.12.1952 00:00,
01.01.1953 00:00,67.5445667
01.02.1953 00:00,
01.03.1953 00:00,
01.04.1953 00:00,
01.05.1953 00:00,
01.06.1953 00:00,
01.07.1953 00:00,
01.08.1953 00:00,
01.09.1953 00:00,
01.10.1953 00:00,
01.11.1953 00:00,
01.12.1953 00:00,
01.01.1954 00:00,71.001663
01.02.1954 00:00,
01.03.1954 00:00,
01.04.1954 00:00,
01.05.1954 00:00,
01.06.1954 00:00,
01.07.1954 00:00,
01.08.1954 00:00,
01.09.1954 00:00,
01.10.1954 00:00,
01.11.1954 00:00,
01.12.1954 00:00,
